Date,Open,High,Low,Close,Adj Close,Volume
2017-06-19,1156.666626,1173.333374,1154.699951,1169.500000,1140.770996,229634
2017-06-20,1170.166626,1177.833374,1160.533325,1167.066650,1138.397461,111972
2017-06-21,1173.533325,1187.599976,1167.333374,1169.233276,1140.510742,35944379
2017-06-22,1173.133301,1176.666626,1154.766724,1157.633301,1129.195801,126353
2017-06-23,1160.400024,1161.766724,1146.666626,1148.699951,1120.481934,145470
2017-06-27,1148.699951,1158.800049,1124.033325,1134.533325,1106.663208,192770
2017-06-28,1127.733276,1137.966675,1121.333374,1132.400024,1104.582397,1630866
2017-06-29,1136.000000,1148.666626,1130.666626,1134.933350,1107.053467,225699
2017-06-30,1134.366699,1134.366699,1107.566650,1125.199951,1097.559204,256168
2017-07-03,1126.666626,1139.233276,1116.666626,1126.366699,1098.697266,586856
2017-07-04,1130.000000,1132.666626,1114.000000,1122.566650,1094.990601,177557
2017-07-05,1124.400024,1132.666626,1119.833374,1130.366699,1102.598999,117182
2017-07-06,1134.666626,1137.266724,1128.800049,1131.466675,1103.671997,118421
2017-07-07,1131.199951,1145.966675,1127.099976,1137.099976,1109.166870,419624
2017-07-10,1136.666626,1156.666626,1134.566650,1154.800049,1126.432129,1212986
2017-07-11,1158.633301,1166.400024,1154.266724,1159.500000,1131.016602,625376
2017-07-12,1160.000000,1171.199951,1158.000000,1160.133301,1131.634399,213687
2017-07-13,1165.000000,1181.500000,1160.800049,1175.199951,1146.330933,182603
2017-07-14,1185.000000,1185.000000,1159.800049,1172.099976,1143.307129,160210
2017-07-17,1174.000000,1182.000000,1163.449951,1170.650024,1141.892700,102053
2017-07-18,1170.000000,1187.000000,1169.000000,1178.199951,1149.257202,236740
2017-07-19,1180.050049,1186.949951,1171.000000,1181.000000,1151.988403,132917
2017-07-20,1184.699951,1193.400024,1176.050049,1186.300049,1157.158325,126936
2017-07-21,1187.500000,1189.199951,1170.000000,1179.150024,1150.183960,485937
2017-07-24,1182.000000,1182.500000,1172.000000,1178.550049,1149.598755,135355
2017-07-25,1179.000000,1180.000000,1165.599976,1170.949951,1142.185303,104370
2017-07-26,1170.000000,1184.000000,1166.050049,1179.650024,1150.671631,97743
2017-07-27,1184.000000,1193.000000,1173.000000,1182.250000,1153.207764,97118
2017-07-28,1189.900024,1191.199951,1153.250000,1159.099976,1130.626465,557352
2017-07-31,1189.550049,1206.000000,1182.000000,1192.099976,1162.815796,381717
2017-08-01,1196.400024,1199.500000,1172.500000,1188.949951,1159.743164,248239
2017-08-02,1192.949951,1193.000000,1173.599976,1176.550049,1147.647827,176567
2017-08-03,1181.900024,1183.949951,1167.949951,1174.349976,1145.501831,110259
2017-08-04,1174.000000,1181.650024,1169.949951,1176.699951,1147.794067,259378
2017-08-07,1179.000000,1183.800049,1171.800049,1178.900024,1149.940063,86975
2017-08-08,1180.949951,1185.650024,1165.250000,1170.800049,1142.039063,132884
2017-08-09,1172.000000,1172.000000,1147.300049,1156.000000,1127.602661,149993
2017-08-10,1156.000000,1166.000000,1140.099976,1159.500000,1131.016602,120474
2017-08-11,1150.500000,1150.500000,1127.050049,1132.800049,1118.477295,339333
2017-08-14,1145.000000,1152.400024,1120.000000,1146.599976,1132.102661,162917
2017-08-16,1146.599976,1152.199951,1123.550049,1141.650024,1127.215332,467174
2017-08-17,1142.000000,1156.150024,1130.900024,1133.050049,1118.724121,263237
2017-08-18,1134.949951,1137.500000,1124.150024,1131.000000,1116.699951,81250
2017-08-21,1131.050049,1138.449951,1123.349976,1126.500000,1112.256836,66771
2017-08-22,1136.000000,1136.500000,1114.550049,1119.250000,1105.098511,63736
2017-08-23,1127.699951,1128.550049,1115.800049,1124.400024,1110.183472,292352
2017-08-24,1129.949951,1134.949951,1125.800049,1131.300049,1116.996216,80086
2017-08-28,1133.000000,1154.400024,1129.300049,1140.650024,1126.228027,177297
2017-08-29,1132.000000,1138.500000,1125.050049,1130.199951,1115.910034,80118
2017-08-30,1133.099976,1145.949951,1133.099976,1139.900024,1125.487427,70523
2017-08-31,1140.000000,1146.000000,1128.599976,1136.000000,1121.636719,272417
2017-09-01,1137.000000,1143.900024,1132.300049,1139.699951,1125.289917,116413
2017-09-04,1139.699951,1139.699951,1122.500000,1129.949951,1115.663208,109309
2017-09-05,1130.000000,1137.900024,1123.500000,1129.000000,1114.725220,84314
2017-09-06,1124.699951,1126.599976,1116.449951,1117.949951,1103.814941,141340
2017-09-07,1120.050049,1132.000000,1119.099976,1126.500000,1112.256836,68228
2017-09-08,1132.000000,1182.000000,1132.000000,1172.300049,1157.477905,335982
2017-09-11,1178.150024,1219.650024,1178.150024,1216.900024,1201.513916,316495
2017-09-12,1220.000000,1231.949951,1219.000000,1228.349976,1212.819092,173298
2017-09-13,1216.000000,1228.000000,1207.550049,1222.750000,1207.289917,190354
2017-09-14,1223.900024,1233.000000,1211.650024,1214.699951,1199.341675,167300
2017-09-15,1214.000000,1221.000000,1200.300049,1212.449951,1197.120117,190224
2017-09-18,1213.050049,1245.449951,1213.050049,1237.800049,1222.149658,283441
2017-09-19,1239.800049,1239.800049,1221.500000,1226.400024,1210.893799,165040
2017-09-20,1229.949951,1249.949951,1229.949951,1235.199951,1219.582520,187217
2017-09-21,1236.000000,1241.150024,1209.949951,1227.750000,1212.226685,192982
2017-09-22,1228.000000,1228.000000,1176.800049,1184.900024,1169.918457,214082
2017-09-25,1188.599976,1188.599976,1145.000000,1164.650024,1149.924561,417812
2017-09-26,1162.000000,1171.000000,1153.550049,1159.849976,1145.185181,271900
2017-09-27,1166.000000,1171.150024,1131.199951,1139.050049,1124.648193,350372
2017-09-28,1141.000000,1145.000000,1129.250000,1132.849976,1118.526611,158555
2017-09-29,1144.900024,1154.050049,1132.500000,1141.199951,1126.770996,205004
2017-10-03,1150.199951,1156.000000,1128.250000,1134.349976,1120.007568,148221
