Date,Open,High,Low,Close,Adj Close,Volume
2017-06-19,2672.000000,2672.000000,2640.550049,2657.449951,2529.487793,441803
2017-06-20,2660.350098,2695.000000,2653.600098,2676.050049,2547.192383,196527
2017-06-21,2675.000000,2695.000000,2655.750000,2687.050049,2557.662598,179216
2017-06-22,2690.100098,2699.899902,2618.550049,2635.600098,2508.690186,171787
2017-06-23,2636.100098,2659.399902,2614.800049,2643.699951,2516.400391,232808
2017-06-27,2630.250000,2670.000000,2630.250000,2653.100098,2525.347412,265871
2017-06-28,2631.000000,2664.699951,2625.149902,2651.750000,2524.062500,191968
2017-06-29,2651.199951,2666.949951,2640.050049,2651.500000,2523.824463,181588
2017-06-30,2650.000000,2711.000000,2645.000000,2690.100098,2560.565918,327643
2017-07-03,2700.000000,2706.100098,2665.000000,2682.550049,2553.378906,144646
2017-07-04,2668.100098,2676.100098,2610.300049,2623.699951,2497.362793,264253
2017-07-05,2621.500000,2669.000000,2621.500000,2664.949951,2536.626709,181326
2017-07-06,2664.949951,2679.000000,2642.100098,2667.899902,2539.434326,124936
2017-07-07,2669.800049,2729.500000,2667.250000,2705.399902,2575.128906,284992
2017-07-10,2711.000000,2745.500000,2711.000000,2726.199951,2594.927490,40195
2017-07-11,2730.000000,2732.399902,2683.000000,2691.250000,2561.660400,160926
2017-07-12,2693.850098,2721.449951,2668.649902,2690.100098,2560.565918,213175
2017-07-13,2693.250000,2719.750000,2683.000000,2694.000000,2564.277832,137183
2017-07-14,2699.149902,2725.000000,2686.399902,2703.000000,2572.844727,195286
2017-07-17,2697.399902,2703.699951,2682.300049,2697.250000,2586.509766,201896
2017-07-18,2690.000000,2743.300049,2687.550049,2718.949951,2607.318115,301108
2017-07-19,2723.000000,2784.800049,2720.350098,2774.000000,2660.108398,364602
2017-07-20,2774.949951,2778.399902,2742.300049,2750.100098,2637.189697,187889
2017-07-21,2738.000000,2780.000000,2727.000000,2762.550049,2649.128418,282516
2017-07-24,2785.000000,2787.000000,2688.899902,2696.449951,2585.742432,517895
2017-07-25,2696.449951,2713.350098,2680.000000,2692.149902,2581.618652,374960
2017-07-26,2708.000000,2716.550049,2680.899902,2707.350098,2596.194824,174665
2017-07-27,2710.000000,2723.000000,2587.000000,2620.350098,2512.766846,1822665
2017-07-28,2499.500000,2506.550049,2451.100098,2464.949951,2363.746826,1548997
2017-07-31,2438.000000,2448.100098,2375.000000,2383.199951,2285.353271,1525068
2017-08-01,2379.000000,2458.000000,2369.800049,2431.550049,2331.718262,1034078
2017-08-02,2435.100098,2439.899902,2372.399902,2378.550049,2280.894287,570459
2017-08-03,2388.000000,2397.000000,2314.350098,2323.949951,2228.536133,777585
2017-08-04,2315.000000,2315.050049,2230.100098,2239.550049,2147.601074,1226639
2017-08-07,2240.000000,2257.000000,2200.000000,2206.949951,2116.339600,736078
2017-08-08,2205.800049,2206.949951,2084.850098,2095.649902,2009.609497,1360991
2017-08-09,2090.899902,2105.000000,2032.500000,2048.350098,1964.251343,1124987
2017-08-10,2042.000000,2099.000000,1934.099976,1944.449951,1864.617065,1540007
2017-08-11,1925.050049,2029.949951,1901.150024,2011.150024,1928.578491,1857913
2017-08-14,2000.000000,2039.900024,1970.099976,2002.050049,1919.852173,843270
2017-08-16,1995.000000,2017.800049,1970.050049,2005.250000,1922.920776,662136
2017-08-17,2010.000000,2031.900024,1992.449951,2011.250000,1928.674561,540131
2017-08-18,1998.000000,2007.550049,1971.300049,1982.000000,1900.625366,349297
2017-08-21,1990.000000,2001.000000,1921.099976,1931.099976,1851.815063,418295
2017-08-22,1945.000000,2014.000000,1935.000000,1984.150024,1902.687012,772164
2017-08-23,1991.000000,2053.449951,1991.000000,2030.949951,1947.565674,809996
2017-08-24,2028.000000,2100.000000,2010.550049,2088.149902,2002.416992,1124967
2017-08-28,2084.000000,2089.750000,2027.099976,2049.399902,1965.258057,844176
2017-08-29,2049.000000,2067.500000,2032.000000,2042.050049,1958.209961,607366
2017-08-30,2047.000000,2074.399902,2031.400024,2038.900024,1955.189331,401449
2017-08-31,2044.000000,2051.699951,2006.000000,2020.900024,1937.928223,837809
2017-09-01,2115.000000,2233.000000,2115.000000,2217.550049,2126.504639,3613589
2017-09-04,2234.000000,2236.399902,2173.250000,2195.100098,2104.976318,947235
2017-09-05,2198.300049,2218.350098,2181.899902,2209.149902,2118.449219,513527
2017-09-06,2185.350098,2208.000000,2175.750000,2196.899902,2106.702148,527252
