Date,Close,Volume
17-11-2017,344.600006,168836552
20-11-2017,355.350006,14650240
21-11-2017,385.299988,43078194
22-11-2017,395.200012,15227642
23-11-2017,374.850006,12300150
24-11-2017,370.700012,9463228
27-11-2017,380.350006,3832223
28-11-2017,382.200012,2409447
29-11-2017,377.799988,1657909
30-11-2017,371.5,2536960
01-12-2017,372.75,1904781
04-12-2017,362.799988,1323453
05-12-2017,362.350006,1806017
06-12-2017,368.350006,3331373
07-12-2017,388.299988,3350792
08-12-2017,389.299988,2494845
11-12-2017,380.799988,1029719
12-12-2017,383.799988,2564559
13-12-2017,380.799988,747787
14-12-2017,384.299988,1261422
15-12-2017,381.399994,1698848
18-12-2017,377.450012,1399027
19-12-2017,374.899994,1641589
20-12-2017,375.149994,2251770
21-12-2017,376.049988,1448962
22-12-2017,374.549988,775946
26-12-2017,376.549988,1310649
27-12-2017,374.850006,589597
28-12-2017,377.950012,912189
29-12-2017,386.0,1611972
01-01-2018,389.649994,1445743
02-01-2018,395.5,1219713
03-01-2018,385.649994,2275082
04-01-2018,399.0,2974278
05-01-2018,407.0,3554479
08-01-2018,422.100006,3806105
09-01-2018,435.5,6183645
10-01-2018,429.25,2374166
11-01-2018,446.700012,2604294
12-01-2018,455.950012,5364763
15-01-2018,474.850006,5635852
16-01-2018,482.649994,8288750
17-01-2018,478.399994,5691140
18-01-2018,485.049988,1772870
19-01-2018,481.5,3488403
22-01-2018,470.200012,3825798
23-01-2018,458.549988,3561221
24-01-2018,455.25,2072037
25-01-2018,448.5,1194340
29-01-2018,445.350006,1113037
30-01-2018,421.850006,3583717
31-01-2018,427.0,14738305
01-02-2018,448.25,4965461
02-02-2018,442.399994,5311751
05-02-2018,441.700012,2268830
06-02-2018,438.799988,1893871
07-02-2018,433.450012,1048027
08-02-2018,441.5,927897
09-02-2018,439.549988,1008995
12-02-2018,441.75,1944360
14-02-2018,431.899994,2159701
15-02-2018,432.0,506167
16-02-2018,431.450012,522734
19-02-2018,435.899994,693977
20-02-2018,434.5,781850
21-02-2018,449.600006,1312613
22-02-2018,450.799988,772690
23-02-2018,468.850006,1849448
26-02-2018,468.299988,920977
27-02-2018,469.0,1378658
28-02-2018,461.200012,1358563
01-03-2018,450.950012,1102928
05-03-2018,452.899994,1249630
06-03-2018,447.350006,1595634
07-03-2018,437.549988,2900233
08-03-2018,430.549988,1951335
09-03-2018,425.549988,1494497
12-03-2018,430.399994,884484
13-03-2018,441.950012,1396863
14-03-2018,445.25,872703
15-03-2018,448.600006,656358
16-03-2018,443.299988,553113
19-03-2018,425.899994,697119
20-03-2018,422.850006,1782357
21-03-2018,422.5,1341420
22-03-2018,427.5,1267475
23-03-2018,429.149994,939860
26-03-2018,437.549988,675696
27-03-2018,448.649994,1231929
28-03-2018,454.450012,1217753
02-04-2018,482.649994,2112175
03-04-2018,493.600006,3149584
04-04-2018,495.850006,1687239
05-04-2018,497.950012,1710038
06-04-2018,496.350006,1505952
09-04-2018,492.0,2704392
10-04-2018,503.549988,1439138
11-04-2018,499.75,2556799
12-04-2018,499.600006,870497
13-04-2018,499.799988,990964
16-04-2018,494.75,839503
