Date,Close,Volume
17-11-2017,337.5,26518142.0
20-11-2017,333.0,13507662.0
21-11-2017,330.649994,14189920.0
22-11-2017,335.299988,22861716.0
23-11-2017,334.950012,13338423.0
24-11-2017,332.399994,11716981.0
27-11-2017,335.649994,13114683.0
28-11-2017,332.0,16054996.0
29-11-2017,328.899994,11264624.0
30-11-2017,320.350006,27276288.0
01-12-2017,312.75,16425620.0
04-12-2017,313.600006,13887727.0
05-12-2017,319.100006,15130931.0
06-12-2017,312.399994,18658202.0
07-12-2017,316.399994,12278558.0
08-12-2017,313.100006,16418832.0
11-12-2017,318.399994,14014369.0
12-12-2017,318.450012,17658856.0
13-12-2017,313.299988,17540585.0
14-12-2017,314.0,13894451.0
15-12-2017,312.25,16050711.0
18-12-2017,318.899994,32119915.0
19-12-2017,319.799988,14741481.0
20-12-2017,317.5,9895770.0
21-12-2017,316.75,9916409.0
22-12-2017,319.850006,13821639.0
26-12-2017,317.149994,9329690.0
27-12-2017,314.850006,14276027.0
28-12-2017,308.399994,20353152.0
29-12-2017,309.899994,11939569.0
01-01-2018,307.100006,12182400.0
02-01-2018,303.25,14797364.0
03-01-2018,302.850006,13857373.0
04-01-2018,308.5,24517099.0
05-01-2018,306.350006,14580575.0
08-01-2018,305.799988,13557197.0
09-01-2018,304.299988,15574755.0
10-01-2018,301.100006,13064599.0
11-01-2018,302.200012,12298455.0
12-01-2018,302.25,17594228.0
15-01-2018,302.600006,18189668.0
16-01-2018,296.149994,18040940.0
17-01-2018,307.100006,26277307.0
18-01-2018,303.25,40000111.0
19-01-2018,309.25,18461642.0
22-01-2018,306.5,12622645.0
23-01-2018,318.100006,35252217.0
24-01-2018,329.899994,38070520.0
25-01-2018,313.149994,42466150.0
29-01-2018,312.100006,23600898.0
30-01-2018,313.549988,25810404.0
31-01-2018,313.25,16409938.0
01-02-2018,306.049988,19515991.0
02-02-2018,297.350006,23274673.0
05-02-2018,298.049988,18940578.0
06-02-2018,291.75,30577218.0
07-02-2018,292.799988,21463818.0
08-02-2018,301.399994,18932796.0
09-02-2018,296.399994,15750824.0
12-02-2018,288.75,50839665.0
14-02-2018,276.200012,45641149.0
15-02-2018,278.700012,26058237.0
16-02-2018,271.649994,30338112.0
19-02-2018,268.5,43847791.0
20-02-2018,269.649994,33458021.0
21-02-2018,273.299988,23714454.0
22-02-2018,272.600006,25584062.0
23-02-2018,276.049988,15482147.0
26-02-2018,274.450012,15306032.0
27-02-2018,267.600006,20824909.0
28-02-2018,268.0,26810799.0
01-03-2018,262.149994,22859175.0
05-03-2018,263.5,18484565.0
06-03-2018,256.549988,20778164.0
07-03-2018,246.649994,31262500.0
08-03-2018,256.799988,33133336.0
09-03-2018,253.25,21536191.0
12-03-2018,252.850006,25332474.0
13-03-2018,254.699997,37647221.0
14-03-2018,257.049988,25471485.0
15-03-2018,253.699997,18339890.0
16-03-2018,252.300003,25728297.0
19-03-2018,247.949997,18167594.0
20-03-2018,249.100006,20556571.0
21-03-2018,248.0,19533972.0
22-03-2018,241.550003,26828240.0
23-03-2018,234.800003,27150262.0
26-03-2018,246.5,30373940.0
27-03-2018,254.350006,31205051.0
28-03-2018,249.899994,36673566.0
02-04-2018,246.149994,14993188.0
03-04-2018,250.5,19883309.0
04-04-2018,247.300003,18824449.0
05-04-2018,259.299988,22880821.0
06-04-2018,259.700012,24868860.0
09-04-2018,260.649994,20208874.0
10-04-2018,263.299988,21201141.0
11-04-2018,257.049988,14885838.0
12-04-2018,253.800003,18660913.0
13-04-2018,250.949997,25654020.0
16-04-2018,249.0,16408377.0
17-04-2018,248.149994,15922452.0
18-04-2018,246.449997,16142387.0
19-04-2018,246.149994,13166927.0
20-04-2018,241.199997,15546939.0
23-04-2018,242.449997,12111837.0
24-04-2018,240.600006,9486349.0
25-04-2018,237.199997,13124853.0
26-04-2018,233.199997,24495144.0
27-04-2018,242.600006,31401889.0
30-04-2018,246.399994,17263193.0
02-05-2018,241.0,12887066.0
03-05-2018,241.899994,12939642.0
04-05-2018,241.949997,12777310.0
07-05-2018,246.5,15122614.0
08-05-2018,250.050003,23293920.0
09-05-2018,248.0,11429823.0
10-05-2018,247.949997,13160967.0
11-05-2018,250.350006,11958589.0
14-05-2018,253.600006,18673849.0
15-05-2018,248.0,18026861.0
16-05-2018,243.100006,17222004.0
17-05-2018,242.699997,11721064.0
18-05-2018,238.850006,11873041.0
21-05-2018,244.449997,18780730.0
22-05-2018,253.899994,68713602.0
23-05-2018,263.200012,71202072.0
24-05-2018,268.5,34679642.0
25-05-2018,266.950012,22317308.0
28-05-2018,272.049988,18959368.0
29-05-2018,264.299988,16107543.0
30-05-2018,267.149994,19320209.0
31-05-2018,269.549988,31935892.0
01-06-2018,266.700012,16574717.0
04-06-2018,263.0,12933824.0
05-06-2018,263.549988,14102731.0
06-06-2018,270.149994,18315171.0
07-06-2018,269.649994,18773700.0
08-06-2018,273.0,14096549.0
11-06-2018,274.0,18219428.0
12-06-2018,282.850006,31358021.0
13-06-2018,287.700012,26748300.0
14-06-2018,282.600006,18513730.0
15-06-2018,277.450012,16949917.0
18-06-2018,276.850006,13542420.0
19-06-2018,272.600006,20726975.0
20-06-2018,273.299988,14002946.0
21-06-2018,268.649994,12954943.0
22-06-2018,273.049988,20784133.0
25-06-2018,268.450012,10934401.0
26-06-2018,267.399994,16867009.0
